Gender,Age Range,"How did you hear about our BETA Savings account? Advert, Beta Friends, Friends, Family, Others",Do you know your BETA friend,Do you know about our Target Savings account?,How satisfied are you with your BETA account?,Do your requests get treated in a timely manner?,Please rate your experience with your BETA Friend,How do you resolve your complaints?,Will you be interested in loan offerings from us?,Did you know you can use our USSD services on *614*045# to check your balance and buy airtime?,Please tell us how best we can serve you
Male,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,No,Yes,I will like access bank to upgrade beta account so that i can withdraw from POS machine with my ATM card
Male,35-44,Others,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,No,I will refer Access bank to upgrade beta network so it can be easier to transfer money from other bank into beta account with no delay of the alert.
Female,35-44,Others,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,No,No,If Access bank upgrade their Network so that it can frustrate me when withdraw coz atimes teller will say that beta network is not going
Female,45-59,BETA Friends,Yes,No,Satisfied,No,Very good,Talk to a BETA friend,No,Yes,Improve on network and gift
Female,35-44,Friends,Yes,No,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,Improve on network and gift 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,No,Improve on network and gift 
Male,25-34,Family,Yes,No,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Improve on network and gift 
Male,45-59,Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,No,Improve on network and loan 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,GIVING INTEREST AND THE NETWORK SHOULD BE UP AND RUNNING
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,THE BANK'S NETWORK IS VERY POOR AND ATM CARDS SHOULD BE UP AND RUNNING
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,ATM DEBIT CARD SHOULD BE UP AND RUNNING AND THE CUSTOMERS I INTRODUCED TO THE BETA FRIEND HAS BEEN COMPLAINING ABOUT THE ATM DEBIT CARD FOR LONG
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,POOR NETWORK AND INTEREST NOT GIVEN
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,PLEASE ADD INTEREST IN THE BETA ACCOUNTS AND REMOVE CHARGES
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,No,Yes,GIVE INTERESTS ON BETA ACCOUNTS LIKE OTHER SAVINGS ACCOUNTS
Male,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,No,Yes,By doing transfer from it please so that it will help us to do our transfer to another bank
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Beta network is ok
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,By giving me money 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,To help us for network
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Mobile App transfer Delay not Encouraging 
Female,35-44,Friends,Yes,Yes,Satisfied,No,Very good,Talk to a BETA friend,No,Yes,No comment 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,"Interest will go a long way to Motivate customers 
Thanks ."
Male,25-34,Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Looking forward 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,"The interest rate on target savers very poor 
In fact there is no interest "
Female,35-44,BETA Friends,Yes,Yes,Satisfied,No,Good,Talk to a BETA friend,No,Yes,Ok with Account but improvement is necessary 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,No,Good,Visit a Branch,No,Yes,Interest will go a long way to Convince customers 
Male,18-24,BETA Friends,Yes,Yes,Satisfied,No,Good,Talk to a BETA friend,No,Yes,"1. We need App or USSD code for transfer to make it easy for us,

2The platform is very poor when ie when making withdrawal across the cater

3 Beta network not encouragement
4  it always takes longer time to treat my transaction across the canter.
"
Male,35-44,BETA Friends,Yes,Yes,Dissatisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,"Improve Bankone network, because for Teller to pay me as customer it takes about 2 hours ,ATM can not  play more than -6000000 please kindly  i increase your ATM lim"
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Unable to transfer 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,No,"How do we go about making this contributions now that there is cashless policy, I suggest they should be given pos or better still give us their personal account so that we can be making transfers to them and then they transfer to us, or the Beta account should be easy in receiving transfers"
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,No,It takes time for transfer to drop and our transfer is not dropping 
Female,35-44,BETA Friends,Yes,Yes,Neutral,No,Very good,Talk to a BETA friend,No,Yes,"Dispense error should be resolved, it took so long for my case to be resolved "
Male,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,Yes,Yes,It is hard to make transfers ( Name enquiry failed) Can't transfer with POS
Male,25-34,BETA Friends,Yes,Yes,Satisfied,No,Very good,Talk to a BETA friend,No,No,POS keeps writing invalid account 
Female,25-34,BETA Friends,Yes,No,Satisfied,Yes,Very good,Talk to a BETA friend,No,No,I want our accounts to be upgraded without us coming to the bank 
Female,18-24,BETA Friends,Yes,No,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Unable to transfer funds 
Male,60 & above,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,No,None for now 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,To add interest in my savings 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Unable to transfer 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Unable to transfer 
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I want loan 
Female,25-34,BETA Friends,Yes,Yes,Dissatisfied,No,Good,Talk to a BETA friend,No,Yes,"I hv a dispense error of 50k since Jan which has been logged but has not reversed, hv complained enough and am almost giving up "
Female,35-44,Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Unable to transfer 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Delay in receiving alerts after transfers
Male,18-24,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network is not active
Male,35-44,BETA Friends,Yes,No,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,You people are trying the network is okay
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,We need to be making transfer to another bank
Male,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I'm okay with everything about beta account
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes, I enjoyed  beta account no issues
Female,18-24,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I need a beta account to be doing transfer
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,No  issues 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,Please help us so that beta account will be doing transfer please
Female,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,No issues
Female,35-44,BETA Friends,Yes,No,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,We need to be doing transfer to beta
Male,45-59,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,No,Yes,Beta is okay
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,"The network is active, I don't have any problem"
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network issues 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network in the areas of transfer 
Male,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Male,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,No,Yes,Improve ur ATM service 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Alert and to improve
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Am ok with the service
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,Yes,Ok with the service
Male,35-44,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improvement in network for easy access 
Male,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Ok with the service
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Improvement in the ATM service 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Alert and to improve
Male,25-34,Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,The account is good But till need to improve on the network service 
Female,45-59,Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Better network 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,Yes,Improve in alert message
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Am ok with the service
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,"I like the Access beta, it help me to save money for a project but I want you people to improve in alert message"
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,Am ok with the service
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,Yes,Alert sms improve
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,Am ok with the service
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,Yes,Ok with the service
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,Yes,Ok with the service
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,No,Yes,Ok with the service
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Ok with the service
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,Yes,Ok with the service
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,No,Ok with the service
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Ok with the service
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Ok with the service
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Ok with the service
Female,35-44,Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improve network 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Beta ATM should always have service for withdrawal 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Service on the  Beta ATM should be available 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Service on ATm is bad
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Loan Should be given to beta customer to encourage us
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Bank one service should be improved on
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Beta ATM should always have network 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Service on Beta ATM
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Service on Beta Atm should be improved 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Service on Beta ATM
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Service on Beta ATM
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Service on the ATM
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Atm Network 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,ATM service 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Beta ATm is bad
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Bank one service generally 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Bank one services 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,ATM SERVICES 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Atm services 
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Atm service 
Male,45-59,BETA Friends,Yes,Yes,Neutral,No,Very good,Visit a Branch,No,No,It's always difficult to make withdrawal from my BETA SAVINGS ACCOUNT. It took long time before the tellers will attend to me
Male,35-44,BETA Friends,Yes,Yes,Neutral,No,Excellent,Talk to a BETA friend,Yes,No,To ensure you responds to challenges timely 
Male,35-44,BETA Friends,Yes,No,Neutral,No,Good,Visit a Branch,No,Yes,To improve your services and also to ensure that transfer alert comes in instantly. Transfer delay discouraged me not to transfer to my BETA SAVINGS ACCOUNT again 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,Yes,No,To access loan with the BETA SAVINGS ACCOUNT. 
Female,25-34,BETA Friends,Yes,No,Neutral,No,Excellent,Talk to a BETA friend,No,No,To ensure that my BETA FRIEND comes every day for collections. She uses two days to run for account opening target and uses three days for collections.
Female,35-44,BETA Friends,Yes,No,Neutral,Yes,Excellent,Visit a Branch,No,No,To improve in your services. The network is very poor. 
Male,35-44,Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,No,No,To improve in your poor Network 
Male,45-59,BETA Friends,Yes,Yes,Neutral,No,Excellent,Visit a Branch,No,Yes,Ensuring that transfer goes regularly and also receive instant alert without delay 
Female,35-44,BETA Friends,Yes,Yes,Neutral,No,Excellent,Visit a Branch,Yes,No,"The BETA SAVINGS ACCOUNT service is too poor, try to improve."
Female,45-59,BETA Friends,Yes,Yes,Neutral,No,Excellent,Visit a Branch,No,Yes,To ensure that all the tellers in a particular branch should have knowledge of BETA SAVINGS ACCOUNT not living the transactions for one particular teller person. 
Male,18-24,BETA Friends,Yes,No,Satisfied,Yes,Very good,Visit a Branch,No,Yes,The delay I encountered whenever I want to make withdrawal is not encouraging. 
Male,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,Yes,No,"Whenever I come to make withdrawal, the tellers will keep me waiting for too long. "
Male,45-59,BETA Friends,Yes,Yes,Very Dissatisfied,No,Very good,Visit a Branch,No,Yes,Your services is poor. Try to improve in your services
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Visit a Branch,Yes,Yes,To ensure transfer alert drops instantly and also improve in your poor Network 
Male,45-59,BETA Friends,Yes,Yes,Neutral,Yes,Very good,Visit a Branch,Yes,Yes,"Keep me waiting whenever I come to the bank for transactions on this my BETA SAVINGS ACCOUNT is unbearable, please educate your tellers regarding this account."
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Visit a Branch,Yes,Yes,To ensure that when will forget our pin on the ATM CARD it can easily be change like other Access Bank Account ATM CARD
Male,45-59,BETA Friends,Yes,Yes,Neutral,No,Very good,Visit a Branch,No,Yes,To improve in your poor Network 
Male,45-59,BETA Friends,Yes,Yes,Neutral,No,Very good,Visit a Branch,Yes,Yes,To improve in your poor Network 
Male,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Visit a Branch,Yes,Yes,The bank network is very poor 
Female,45-59,BETA Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,Yes,Yes,To improve in your poor Network 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,No,Good,Talk to a BETA friend,Yes,Yes,To access loan with the BETA SAVINGS ACCOUNT 
Female,45-59,BETA Friends,Yes,Yes,Neutral,No,Very good,Talk to a BETA friend,No,Yes,"Improve your network in Bankone, service is very poor "
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,No,Yes,Upgrade your product 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,No,Very good,Talk to a BETA friend,Yes,Yes,Increase your ATM limit improve Bankone service 
Male,45-59,BETA Friends,Yes,Yes,Dissatisfied,No,Very good,Talk to a BETA friend,Yes,Yes,I proved your service 
